STOP_ID,STOP_FRISK_DATE,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
3347,15/06/2021,POM,(null),ROBBERY,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),HAPPY,47,MALE,BLACK,5.1,180,THN,BRO,BLD,BROOKLYN
3348,16/06/2021,POM,(null),CPW,Y,CRIMINAL SALE OF CONTROLLED SUBSTANCE,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,33,MALE,BLACK,5.5,300,HEA,BRO,BLK,BROOKLYN
3349,14/06/2021,POM,(null),CRIMINAL MISCHIEF,Y,CRIMINAL MISCHIEF,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),UPSET,35,MALE,BLACK,5.8,160,THN,BRO,BRO,BROOKLYN
3350,13/06/2021,POM,(null),ASSAULT,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),Y,(null),COMPLIANT,30,MALE,BLACK,6.2,180,MED,BRO,BLK,QUEENS
3351,16/06/2021,POM,(null),ROBBERY,Y,ROBBERY,Y,Y,N,N,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS.,66,MALE,WHITE,5.5,260,HEA,BRO,GRY,MANHATTAN
3352,12/06/2021,SGT,(null),CPW,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,Y,Y,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,55,MALE,WHITE HISPANIC,6,195,MED,BRO,BRO,MANHATTAN
3353,16/06/2021,POM,(null),GRAND LARCENY AUTO,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),21,MALE,BLACK,5.8,170,THN,BRO,BLK,MANHATTAN
3354,09/06/2021,POM,(null),OTHER,Y,OTHER,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),28,MALE,BLACK,6.1,180,THN,BRO,BLK,BRONX
3355,22/05/2021,POM,(null),ROBBERY,Y,ROBBERY,N,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),CALM,71,MALE,BLACK,5.1,180,THN,BRO,WHI,BRONX
3356,15/06/2021,POM,(null),ASSAULT,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),Y,Y,(null),IRRATE,30,MALE,BLACK,6.2,200,MED,BRO,BLK,BROOKLYN
3357,15/06/2021,POM,(null),MENACING,Y,MENACING,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,29,MALE,BLACK HISPANIC,5.5,160,MED,BRO,BLK,QUEENS
3358,26/04/2021,POF,(null),ASSAULT,Y,ASSAULT,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CONFUSED,60,MALE,ASIAN / PACIFIC ISLANDER,5.3,160,MED,BLK,BRO,STATEN ISLAND
3359,14/06/2021,POM,(null),BURGLARY,Y,BURGLARY,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),TENSE,18,MALE,BLACK,5.5,140,THN,BRO,BLK,STATEN ISLAND
3360,16/06/2021,POM,(null),PETIT LARCENY,Y,PETIT LARCENY,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT,43,MALE,BLACK HISPANIC,6.1,180,MED,BLK,BLK,MANHATTAN
3361,17/06/2021,POM,(null),ASSAULT,Y,ASSAULT,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,22,MALE,BLACK,6.6,340,HEA,BRO,BLK,BROOKLYN
3362,17/06/2021,POM,(null),CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),TIRED,35,MALE,WHITE HISPANIC,6.1,175,THN,BRO,BLK,QUEENS
3363,16/06/2021,POM,(null),ROBBERY,Y,ROBBERY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),NERVOUS,32,MALE,BLACK HISPANIC,5.11,160,THN,BRO,BLK,MANHATTAN
3364,15/06/2021,POM,(null),CPW,Y,CPW,Y,N,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,27,MALE,WHITE HISPANIC,5.6,150,THN,BLK,BRO,MANHATTAN
3365,16/06/2021,POM,(null),ROBBERY,Y,ROBBERY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),COMPLIANT,52,MALE,BLACK,5.5,150,MED,BRO,BLK,MANHATTAN
3366,10/06/2021,POM,(null),GRAND LARCENY AUTO,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,18,MALE,BLACK,5.9,170,THN,BRO,BLK,MANHATTAN
3367,10/06/2021,POM,(null),GRAND LARCENY AUTO,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,15,MALE,BLACK,5.7,160,THN,BRO,BLK,MANHATTAN
3368,29/05/2021,POM,(null),CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),DAZED/ DISORIENTED,30,FEMALE,BLACK,5.6,100,MED,BRO,BLK,MANHATTAN
3369,28/05/2021,SGT,(null),PETIT LARCENY,Y,PETIT LARCENY,Y,Y,N,N,Y,(null),(null),Y,N,(null),(null),Y,(null),(null),(null),(null),(null),CONFUSED,41,MALE,BLACK HISPANIC,5.11,155,MED,BRO,BLK,MANHATTAN
3370,27/05/2021,POM,(null),ASSAULT,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),INTOX,31,MALE,BLACK,6.2,200,THN,BLK,BLK,BRONX
3371,13/06/2021,POM,(null),CPW,N,(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,23,MALE,BLACK,5.8,150,(null),(null),BLK,BROOKLYN
3372,06/06/2021,CPT,(null),PETIT LARCENY,Y,PETIT LARCENY,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),APPARENTLY NORMAL,29,MALE,WHITE,5.7,130,THN,GRN,BRO,BROOKLYN
3373,17/06/2021,POM,(null),CPW,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE,31,MALE,BLACK,5.11,180,MED,BRO,BLK,BROOKLYN
3374,13/06/2021,POF,(null),FORCIBLE TOUCHING,Y,FORCIBLE TOUCHING,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,27,MALE,WHITE HISPANIC,5.11,180,MED,BRO,BLK,BROOKLYN
3375,09/06/2021,POM,(null),PETIT LARCENY,Y,PETIT LARCENY,N,Y,Y,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALMED,34,MALE,WHITE,5.9,180,THN,BLU,BLN,BROOKLYN
3376,16/06/2021,POM,(null),ROBBERY,Y,OTHER,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE UNCOOPERATIVE,37,MALE,BLACK HISPANIC,5.6,150,THN,BRO,BLK,QUEENS
3377,17/06/2021,POM,(null),MENACING,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NORMAL,(null),MALE,BLACK,6,170,THN,BRO,BLK,MANHATTAN
3378,12/06/2021,POM,(null),PETIT LARCENY,N,(null),N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),UPSET,55,FEMALE,WHITE,5.1,150,THN,BRO,BRO,MANHATTAN
3379,05/06/2021,POM,(null),CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COOPERATIVE,25,MALE,BLACK,6,215,MED,BRO,BLK,BROOKLYN
3380,13/06/2021,POM,(null),ROBBERY,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),20,MALE,BLACK,5.7,140,THN,BRO,BLK,BROOKLYN
3381,16/06/2021,DT3,(null),CPW,Y,CPW,Y,Y,N,Y,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),COMBATIVE,21,MALE,BLACK,5.7,140,THN,BRO,BLK,BROOKLYN
3382,16/06/2021,DT3,(null),CPW,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,19,MALE,BLACK,5.6,180,MED,BLK,BLK,BROOKLYN
3383,12/06/2021,POM,(null),RECKLESS ENDANGERMENT,Y,OTHER,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE,35,FEMALE,BLACK,5.4,180,HEA,BRO,BLK,BROOKLYN
3384,10/06/2021,POF,(null),CPSP,Y,CPSP,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,(null),(null),AGGRESSIVE,(null),MALE,BLACK,5.7,160,MED,BRO,GRY,BROOKLYN
3385,11/06/2021,POM,(null),PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),APPARENTLY NORMAL,25,MALE,ASIAN / PACIFIC ISLANDER,6,180,THN,BRO,BLK,MANHATTAN
3386,16/06/2021,POM,(null),BURGLARY,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,63,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK,MANHATTAN
3387,15/06/2021,POM,(null),ASSAULT,Y,ASSAULT,N,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),Y,Y,(null),AGGRAVATED / COMBATIVE,22,MALE,BLACK,5.1,150,THN,(null),BLK,MANHATTAN
